5,medium,expert,4,8 ♦,"['8 ♠', '3 ♣']",3 ♣,bot1,8
5,medium,expert,5,7 ♦,"['7 ♠', '4 ♣']",4 ♣,bot1,7
5,medium,expert,6,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
5,medium,expert,7,6 ♦,"['6 ♠', '5 ♣']",5 ♣,bot1,6
5,medium,expert,8,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
5,medium,expert,9,3 ♦,"['3 ♠', '6 ♣']",6 ♣,bot2,3
5,medium,expert,10,4 ♦,"['4 ♠', '7 ♣']",7 ♣,bot2,4
5,medium,expert,11,5 ♦,"['5 ♠', '8 ♣']",8 ♣,bot2,5
5,medium,expert,12,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
5,medium,expert,13,2 ♦,"['2 ♠', '9 ♣']",9 ♣,bot2,2

Game Number,5,Final Scores
bot1,53.5
bot2,37.5
Winner,bot1

6,medium,expert,1,5 ♦,"['5 ♠', '1 ♣']",1 ♣,bot1,5
6,medium,expert,2,9 ♦,"['9 ♠', '2 ♣']",2 ♣,bot1,9
6,medium,expert,3,4 ♦,"['4 ♠', '3 ♣']",3 ♣,bot1,4
6,medium,expert,4,3 ♦,"['3 ♠', '4 ♣']",4 ♣,bot2,3
6,medium,expert,5,8 ♦,"['8 ♠', '5 ♣']",5 ♣,bot1,8
6,medium,expert,6,2 ♦,"['2 ♠', '6 ♣']",6 ♣,bot2,2
6,medium,expert,7,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
6,medium,expert,8,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
6,medium,expert,9,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
6,medium,expert,10,1 ♦,"['1 ♠', '7 ♣']",7 ♣,bot2,1
6,medium,expert,11,7 ♦,"['7 ♠', '8 ♣']",8 ♣,bot2,7
6,medium,expert,12,6 ♦,"['6 ♠', '9 ♣']",9 ♣,bot2,6
6,medium,expert,13,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10

Game Number,6,Final Scores
bot1,49.0
bot2,42.0
Winner,bot1

7,medium,expert,1,5 ♦,"['5 ♠', '1 ♣']",1 ♣,bot1,5
7,medium,expert,2,8 ♦,"['8 ♠', '2 ♣']",2 ♣,bot1,8
7,medium,expert,3,1 ♦,"['1 ♠', '3 ♣']",3 ♣,bot2,1
7,medium,expert,4,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
7,medium,expert,5,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
7,medium,expert,6,3 ♦,"['3 ♠', '5 ♣']",5 ♣,bot2,3
7,medium,expert,7,6 ♦,"['6 ♠', '6 ♣']",6 ♣,"['bot1', 'bot2']",6
7,medium,expert,8,2 ♦,"['2 ♠', '7 ♣']",7 ♣,bot2,2
7,medium,expert,9,7 ♦,"['7 ♠', '8 ♣']",8 ♣,bot2,7
7,medium,expert,10,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
